#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 04 23 21 50 999 99.0 99.0  0.26 13.79  5.70  33 1029.8   8.2   6.5 999.0 99.0 99.00
2018 04 23 22 50 999 99.0 99.0  0.32 13.79  3.59 127 1029.8   7.1   6.3 999.0 99.0 99.00
2018 04 23 23 50 999 99.0 99.0  0.35 13.79  3.15 115 1030.0   5.9   6.3 999.0 99.0 99.00
2018 04 24 00 50 999 99.0 99.0  0.36  2.74  3.04 191 1030.4   5.9   6.2 999.0 99.0 99.00
2018 04 24 01 50 999 99.0 99.0  0.37  2.86  3.06 201 1030.3   6.0   5.9 999.0 99.0 99.00
2018 04 24 02 50 999 99.0 99.0  0.52  3.23  3.20 192 1030.5   6.0   5.7 999.0 99.0 99.00
2018 04 24 03 50 999 99.0 99.0  0.66  3.57  3.37 187 1030.1   6.2   5.6 999.0 99.0 99.00
2018 04 24 04 50 999 99.0 99.0  0.70  3.85  3.40 191 1030.2   6.2   5.6 999.0 99.0 99.00
2018 04 24 05 50 999 99.0 99.0  0.71  3.85  3.47 194 1029.7   6.0   5.6 999.0 99.0 99.00
2018 04 24 06 50 999 99.0 99.0  0.80  4.00  3.51 204 1029.6   5.8   5.5 999.0 99.0 99.00
2018 04 24 07 50 999 99.0 99.0  0.76  4.35  3.59 217 1029.3   5.7   5.5 999.0 99.0 99.00
2018 04 24 08 50 999 99.0 99.0  0.73  4.00  3.57 207 1029.2   5.7   5.4 999.0 99.0 99.00
